account_id,churn_flag,churn_probability,risk_level,plan_tier,industry,mrr_amount,arr_amount,billing_frequency,expected_mrr_at_risk,expected_arr_at_risk
A-c37601,False,0.5672389813287214,Medium,Basic,EdTech,10746,128952,monthly,6095.55009335844,73146.60112030129
A-3b5cd1,False,0.7030630255347231,High,Basic,FinTech,6368,76416,annual,4477.105346605117,53725.2641592614
A-b2225d,True,0.4341614718895309,Medium,Basic,FinTech,893,10716,annual,387.7061943973511,4652.474332768214
A-94f8c9,False,0.2891874212539946,Low,Basic,HealthTech,2587,31044,monthly,748.1278587840841,8977.534305409008
A-02fac6,False,0.3386077754916104,Medium,Pro,FinTech,1078,12936,monthly,365.01918197995604,4380.230183759472
A-c1dfe1,False,0.26896264127691,Low,Pro,DevTools,494,5928,monthly,132.86754479079354,1594.4105374895225
A-32728c,True,0.7473064006173189,High,Pro,DevTools,798,9576,annual,596.3505076926205,7156.206092311446
A-4c38bc,True,0.7308095342687085,High,Basic,HealthTech,1764,21168,annual,1289.148018450002,15469.776221400023
A-1b707d,False,0.4413197221122251,Medium,Enterprise,Cybersecurity,0,0,annual,0.0,0.0
A-6f8ad2,False,0.3909764228221033,Medium,Basic,EdTech,779,9348,annual,304.5706333784185,3654.8476005410216
A-4d1e75,False,0.6819609940069337,Medium,Basic,DevTools,0,0,monthly,0.0,0.0
A-9ee962,True,0.7743769701594954,High,Basic,HealthTech,171,2052,annual,132.41846189727372,1589.0215427672845
A-378b99,False,0.463366852867837,Medium,Pro,EdTech,784,9408,annual,363.2796126483842,4359.35535178061
A-94d3da,False,0.3112230935545267,Medium,Basic,HealthTech,779,9348,monthly,242.4427898789763,2909.3134785477155
A-e351e1,False,0.5173035910124013,Medium,Enterprise,EdTech,627,7524,annual,324.34935156477565,3892.1922187773075
A-9badbd,False,0.5176753072048054,Medium,Enterprise,Cybersecurity,11741,140892,monthly,6078.02578189162,72936.30938269944
A-7e0a10,False,0.2564267774129244,Low,Enterprise,FinTech,13930,167160,annual,3572.025009362037,42864.30011234444
A-118d55,False,0.5140744088741118,Medium,Basic,Cybersecurity,5771,69252,monthly,2966.7234136124994,35600.680963349994
A-526d93,False,0.4125030674530768,Medium,Basic,HealthTech,8557,102684,annual,3529.7887481959783,42357.46497835174
A-f92792,False,0.4989778390714139,Medium,Pro,FinTech,361,4332,annual,180.13099990478042,2161.571998857365
A-84ebe4,True,0.8896799626054841,High,Pro,FinTech,7164,85968,monthly,6373.667252105688,76484.00702526826
A-5b4ebb,True,0.6142470747076395,Medium,Basic,Cybersecurity,1470,17640,annual,902.9431998202301,10835.31839784276
A-2922b6,False,0.5911445386026056,Medium,Basic,HealthTech,980,11760,annual,579.3216478305535,6951.859773966642
A-9b9fe9,False,0.4040685543932634,Medium,Basic,EdTech,9950,119400,monthly,4020.4821162129706,48245.78539455565
A-a8b49c,False,0.143388944204242,Low,Basic,Cybersecurity,343,4116,annual,49.18240786205501,590.1888943446601
A-9174e0,False,0.2302195372149487,Low,Basic,Cybersecurity,7363,88356,annual,1695.1064525136674,20341.277430164006
A-a1bbb6,False,0.401467891425318,Medium,Basic,DevTools,0,0,annual,0.0,0.0
A-c45b23,False,0.2956166004146273,Low,Basic,FinTech,5174,62088,annual,1529.5202905452816,18354.24348654338
A-02cd81,False,0.626425587050878,Medium,Basic,HealthTech,2156,25872,annual,1350.573565681693,16206.882788180317
A-ee42db,False,0.3688580081046228,Medium,Enterprise,EdTech,570,6840,monthly,210.24906461963502,2522.98877543562
A-432483,False,0.92863553756499,High,Pro,Cybersecurity,1519,18228,annual,1410.5973815612197,16927.168578734636
A-9208f0,True,0.509890206897656,Medium,Pro,EdTech,0,0,annual,0.0,0.0
A-98a59a,False,0.353760970802789,Medium,Enterprise,FinTech,2744,32928,annual,970.7201038828531,11648.641246594236
A-fe79a5,False,0.4406840598052732,Medium,Basic,HealthTech,1791,21492,annual,789.2651511112443,9471.181813334932
A-726cfa,False,0.5521662723633406,Medium,Pro,DevTools,7562,90744,monthly,4175.481351611582,50105.77621933898
A-c43359,False,0.3332189687331536,Medium,Pro,FinTech,722,8664,monthly,240.5840954253369,2887.0091451040425
A-271f46,True,0.819073160994424,High,Pro,DevTools,9154,109848,monthly,7497.795715742957,89973.54858891548
A-157070,False,0.645367937765684,Medium,Pro,FinTech,722,8664,annual,465.95565106682386,5591.467812801886
A-40a557,False,0.1909162192801588,Low,Pro,Cybersecurity,3184,38208,monthly,607.8772421880257,7294.5269062563075
A-66224b,False,0.6313517491919285,Medium,Pro,HealthTech,0,0,annual,0.0,0.0
A-91e948,False,0.1368114247521527,Low,Basic,EdTech,8159,97908,monthly,1116.2444145528139,13394.932974633766
A-104f1a,False,0.5275406216841825,Medium,Pro,Cybersecurity,646,7752,monthly,340.7912416079819,4089.4948992957825
A-7988d1,False,0.456373445729846,Medium,Basic,Cybersecurity,0,0,monthly,0.0,0.0
A-faa28c,False,0.4337542030466662,Medium,Enterprise,HealthTech,2352,28224,monthly,1020.1898855657588,12242.278626789106
A-f25509,False,0.4083747106208063,Medium,Enterprise,EdTech,1083,12996,annual,442.2698116023333,5307.237739227999
A-3a7284,False,0.4195683175779481,Medium,Enterprise,FinTech,1519,18228,annual,637.3242744009032,7647.891292810838
A-3a5ad8,False,0.4065815080397957,Medium,Enterprise,HealthTech,0,0,annual,0.0,0.0
A-65a46c,False,0.7560084765341916,High,Pro,HealthTech,1715,20580,annual,1296.5545372561385,15558.654447073663
A-8b25f2,True,0.4698467184085601,Medium,Pro,Cybersecurity,2587,31044,monthly,1215.493460522945,14585.92152627534
A-fabe19,False,0.6749333029497308,Medium,Enterprise,DevTools,0,0,monthly,0.0,0.0
A-adc1f3,False,0.2799423754996284,Low,Pro,Cybersecurity,995,11940,monthly,278.54266362213025,3342.5119634655634
A-503d5a,True,0.5925129204428162,Medium,Enterprise,FinTech,11144,133728,annual,6602.9639854147445,79235.56782497693
A-fd7ad3,False,0.4436937113054498,Medium,Enterprise,Cybersecurity,551,6612,monthly,244.47523492930284,2933.7028191516342
A-186a44,False,0.5578581772466047,Medium,Enterprise,HealthTech,380,4560,monthly,211.98610735370977,2543.8332882445175
A-e888d1,False,0.384474484065852,Medium,Pro,Cybersecurity,833,9996,monthly,320.2672452268547,3843.2069427222564
A-69fad4,True,0.3145541466173565,Medium,Basic,FinTech,0,0,monthly,0.0,0.0
A-9289f6,False,0.2520743018039485,Low,Enterprise,EdTech,1225,14700,annual,308.7910197098369,3705.4922365180432
A-f19409,True,0.9890909845041268,High,Basic,DevTools,665,7980,annual,657.7455046952443,7892.946056342932
A-22f2df,False,0.7782408766027258,High,Basic,DevTools,209,2508,annual,162.6523432099697,1951.8281185196363
A-039727,False,0.3377525976247201,Medium,Pro,EdTech,4975,59700,annual,1680.3191731829825,20163.83007819579
A-2e3bad,False,0.0974288411611746,Low,Pro,FinTech,1159,13908,monthly,112.92002690580136,1355.0403228696164
A-484819,False,0.1738697216566604,Low,Pro,HealthTech,3582,42984,monthly,622.8013429741576,7473.616115689891
A-425e76,True,0.635663712502294,Medium,Enterprise,DevTools,1791,21492,annual,1138.4737090916085,13661.684509099303
A-e83938,True,0.4568747219208501,Medium,Pro,DevTools,1026,12312,annual,468.7534646907922,5625.041576289506
A-ad296b,False,0.6181062865851744,Medium,Pro,DevTools,1862,22344,annual,1150.9139056215947,13810.966867459138
A-e51ec7,False,0.1420719567289543,Low,Enterprise,FinTech,1990,23880,monthly,282.7231938906191,3392.678326687429
A-0aaf6e,False,0.3615454073207141,Medium,Enterprise,FinTech,3582,42984,monthly,1295.055649022798,15540.667788273575
A-e61e98,True,0.725443650988591,High,Enterprise,FinTech,6766,81192,annual,4908.351742588807,58900.22091106568
A-92a333,False,0.4615984196300628,Medium,Enterprise,FinTech,171,2052,monthly,78.93332975674075,947.1999570808889
A-95b24a,True,0.3544081547608964,Medium,Pro,FinTech,0,0,annual,0.0,0.0
A-42e5e1,True,0.6491304220945333,Medium,Pro,DevTools,490,5880,annual,318.0739068263213,3816.886881915856
A-7d514c,False,0.3089872350231682,Medium,Enterprise,HealthTech,3383,40596,monthly,1045.303816083378,12543.645793000536
A-65aeb5,False,0.3584427220922342,Medium,Pro,DevTools,171,2052,annual,61.29370547777205,735.5244657332646
A-e2cd1b,False,0.6896653218659734,Medium,Enterprise,DevTools,3184,38208,annual,2195.8943848212593,26350.732617855112
A-180abf,True,0.6170886253539596,Medium,Pro,DevTools,3136,37632,monthly,1935.1899291100171,23222.279149320206
A-f17767,True,0.9838810102028736,High,Enterprise,DevTools,735,8820,annual,723.1525424991121,8677.830509989344
A-5a184f,True,0.9066475272675336,High,Enterprise,DevTools,684,8208,annual,620.1469086509929,7441.762903811916
A-7df7a7,True,0.7239930117618405,High,Basic,DevTools,5970,71640,annual,4322.238280218187,51866.859362618256
A-1ac5e0,True,0.7819003927110161,High,Basic,DevTools,0,0,monthly,0.0,0.0
A-52dd88,False,0.1358820864431142,Low,Pro,Cybersecurity,1470,17640,annual,199.74666707137786,2396.9600048565344
A-bece89,False,0.4703381108232224,Medium,Pro,Cybersecurity,1862,22344,annual,875.7695623528401,10509.234748234081
A-029f69,False,0.4362478733793232,Medium,Basic,Cybersecurity,646,7752,annual,281.81612620304276,3381.7935144365133
A-5c046d,False,0.4093740882937868,Medium,Basic,EdTech,18507,222084,annual,7576.286252053113,90915.43502463735
A-fb186e,False,0.2769399712375407,Low,Basic,EdTech,0,0,annual,0.0,0.0
A-ae052e,False,0.2060303324236485,Low,Basic,FinTech,0,0,annual,0.0,0.0
A-9f9299,False,0.5598894608041768,Medium,Enterprise,FinTech,1372,16464,annual,768.1683402233306,9218.020082679966
A-96e141,False,0.6641510761660568,Medium,Basic,DevTools,4975,59700,monthly,3304.151603926133,39649.81924711359
A-117171,True,0.5809987430203885,Medium,Basic,HealthTech,2205,26460,annual,1281.1022283599566,15373.226740319478
A-313be3,False,0.2167097159903279,Low,Enterprise,EdTech,2303,27636,monthly,499.08247592572513,5988.989711108702
A-671f31,False,0.7200818916670142,High,Basic,DevTools,0,0,annual,0.0,0.0
A-bbc346,False,0.4447688259061698,Medium,Enterprise,FinTech,0,0,annual,0.0,0.0
A-c16101,False,0.5631188003986335,Medium,Basic,EdTech,343,4116,monthly,193.1497485367313,2317.7969824407755
A-50f3f7,True,0.4244312281566152,Medium,Basic,HealthTech,6169,74028,annual,2618.316246498159,31419.794957977912
A-7da956,False,0.5130663910658183,Medium,Pro,Cybersecurity,2985,35820,monthly,1531.5031773314677,18378.038127977612
A-019782,False,0.809209500151691,High,Enterprise,DevTools,0,0,annual,0.0,0.0
A-df10db,False,0.6249074726811108,Medium,Enterprise,DevTools,2388,28656,monthly,1492.2790447624925,17907.348537149912
A-3932db,True,0.6335877540557063,Medium,Pro,HealthTech,0,0,monthly,0.0,0.0
A-4f18f0,False,0.575708220418359,Medium,Pro,DevTools,456,5472,monthly,262.5229485107717,3150.2753821292604
A-4c6f11,True,0.4555572858195122,Medium,Pro,FinTech,456,5472,monthly,207.73412233369757,2492.809468004371
A-8ae05d,False,0.496261374840531,Medium,Enterprise,FinTech,0,0,monthly,0.0,0.0
A-b78bf8,False,0.8070528427598164,High,Pro,DevTools,1617,19404,monthly,1305.004446742623,15660.053360911477
A-eafc6e,True,0.1609724711118682,Low,Pro,DevTools,0,0,monthly,0.0,0.0
A-37f969,False,0.2181851796803411,Low,Enterprise,HealthTech,5970,71640,annual,1302.5655226916363,15630.786272299636
A-10b8f2,False,0.6862398688303052,Medium,Basic,HealthTech,2352,28224,annual,1614.0361714888777,19368.434057866532
A-439b2f,True,0.5001423654085948,Medium,Enterprise,DevTools,1274,15288,monthly,637.1813735305498,7646.176482366597
A-544d0a,False,0.6481450201400972,Medium,Basic,DevTools,398,4776,annual,257.9617180157587,3095.540616189104
A-ba6516,False,0.4579096108246303,Medium,Pro,FinTech,5373,64476,annual,2460.3483389607386,29524.18006752886
A-712426,False,0.7775759776224741,High,Enterprise,HealthTech,0,0,annual,0.0,0.0
A-038089,True,0.4507830356960849,Medium,Pro,DevTools,95,1140,annual,42.82438839112807,513.8926606935368
A-afa505,False,0.4541291827609845,Medium,Basic,DevTools,13930,167160,monthly,6326.019515860515,75912.23419032617
A-d5a319,True,0.2438466852437082,Low,Enterprise,FinTech,2985,35820,annual,727.882355452469,8734.588265429627
A-f97b9a,False,0.5178211138591454,Medium,Pro,FinTech,784,9408,annual,405.97175326557,4871.66103918684
A-2f6a32,False,0.4291885913782202,Medium,Basic,HealthTech,361,4332,annual,154.93708148753748,1859.24497785045
A-856b1e,False,0.4101914840773356,Medium,Basic,FinTech,0,0,monthly,0.0,0.0
A-17939a,False,0.4608706678550052,Medium,Basic,HealthTech,266,3192,annual,122.59159764943138,1471.0991717931765
A-d27f50,False,0.3419620954059146,Medium,Enterprise,Cybersecurity,836,10032,annual,285.8803117593446,3430.563741112135
A-e36807,False,0.3439096280840396,Medium,Pro,EdTech,1791,21492,monthly,615.9421438985149,7391.305726782179
A-ff79f2,True,0.5876073928651021,Medium,Basic,DevTools,3781,45372,annual,2221.743552422951,26660.922629075412
A-5b1bcd,False,0.3451256945385441,Medium,Pro,DevTools,3577,42924,annual,1234.5146093643723,14814.175312372467
A-71615e,False,0.3176585865980012,Medium,Basic,EdTech,735,8820,annual,233.4790611495309,2801.7487337943708
A-794a0b,False,0.7829458673008788,High,Basic,HealthTech,6169,74028,monthly,4829.993055379121,57959.916664549455
A-86902e,False,0.4134470812804451,Medium,Enterprise,HealthTech,6766,81192,annual,2797.3829519434917,33568.5954233219
A-0532a9,False,0.5838822100098985,Medium,Pro,FinTech,931,11172,annual,543.5943375192155,6523.132050230586
A-9779ad,True,0.5509537634286109,Medium,Pro,Cybersecurity,7960,95520,monthly,4385.5919568917425,52627.10348270091
A-f45426,False,0.4782633325471794,Medium,Basic,HealthTech,441,5292,monthly,210.9141296533061,2530.9695558396734
A-c1e51e,False,0.4572123560606435,Medium,Basic,FinTech,779,9348,annual,356.16842537124126,4274.021104454895
A-fa3095,False,0.2857134744775767,Low,Basic,FinTech,1330,15960,annual,379.99892105517705,4559.987052662124
A-ad64c6,False,0.3281392139233596,Medium,Pro,DevTools,5572,66864,annual,1828.3916999809596,21940.700399771515
A-39b19f,False,0.0548146349335557,Low,Enterprise,FinTech,247,2964,monthly,13.539214828588257,162.47057794305908
A-56962b,False,0.1443473025449077,Low,Enterprise,EdTech,32437,389244,monthly,4682.193452649171,56186.32143179006
A-e60f9d,False,0.4776099597143728,Medium,Basic,FinTech,722,8664,annual,344.83439091377716,4138.012690965326
A-88c6ca,True,0.7524513931919122,High,Basic,FinTech,1127,13524,annual,848.0127201272851,10176.15264152742
A-158f4e,False,0.0757657737314132,Low,Enterprise,FinTech,12139,145668,monthly,919.7207273256248,11036.648727907499
A-5b051a,False,0.6003015767650527,Medium,Enterprise,Cybersecurity,1078,12936,monthly,647.1250997527268,7765.501197032721
A-296d7c,False,0.5959106703908928,Medium,Enterprise,DevTools,294,3528,annual,175.1977370949225,2102.37284513907
A-1619f8,False,0.4056790899778614,Medium,Pro,DevTools,551,6612,monthly,223.52917857780162,2682.3501429336197
A-a1b80b,False,0.4761655031285832,Medium,Basic,HealthTech,0,0,annual,0.0,0.0
A-139c3b,True,0.7833128853667516,High,Enterprise,HealthTech,0,0,annual,0.0,0.0
A-702032,False,0.3062992967381505,Medium,Pro,HealthTech,1372,16464,annual,420.2426351247425,5042.91162149691
A-7a0d69,True,0.7500679717209454,High,Enterprise,DevTools,3184,38208,monthly,2388.21642195949,28658.597063513884
A-22d9d2,False,0.7565025553897436,High,Pro,DevTools,1568,18816,monthly,1186.196006851118,14234.352082213416
A-b9eed8,False,0.2148717083321412,Low,Basic,Cybersecurity,342,4104,monthly,73.4861242495923,881.8334909951075
A-dfbd31,False,0.5272505715431461,Medium,Enterprise,DevTools,266,3192,monthly,140.24865203047688,1682.9838243657225
A-8e47ca,False,0.2267753518457072,Low,Pro,HealthTech,4975,59700,monthly,1128.2073754323933,13538.488505188721
A-4437e4,False,0.44571326115156,Medium,Enterprise,Cybersecurity,171,2052,annual,76.21696765691676,914.6036118830011
A-779e4e,False,0.2875598863291701,Low,Basic,HealthTech,1862,22344,annual,535.4365083449147,6425.238100138978
A-53f4e3,False,0.2610729958760752,Low,Enterprise,Cybersecurity,1421,17052,monthly,370.9847271399028,4451.816725678834
A-692f18,True,0.4490644981827362,Medium,Basic,EdTech,5572,66864,annual,2502.1873838742063,30026.248606490473
A-13466a,True,0.7807450163124376,High,Basic,DevTools,171,2052,annual,133.50739778942685,1602.088773473122
A-1986ca,False,0.280772200537239,Low,Pro,HealthTech,3980,47760,monthly,1117.4733581382113,13409.680297658535
A-0cc442,False,0.4033753269962567,Medium,Basic,EdTech,8955,107460,annual,3612.226053251479,43346.71263901775
A-c608c8,True,0.8288318432150329,High,Pro,DevTools,1029,12348,annual,852.8679666682689,10234.415600019227
A-3be56b,True,0.7457646253647091,High,Pro,HealthTech,380,4560,annual,283.3905576385895,3400.6866916630734
A-354f12,False,0.7821003235907985,High,Pro,FinTech,133,1596,monthly,104.0193430375762,1248.2321164509144
A-68f37c,False,0.3153211260612861,Medium,Basic,HealthTech,796,9552,monthly,250.99561634478374,3011.9473961374047
A-aa9511,False,0.5598802552665476,Medium,Pro,DevTools,5970,71640,monthly,3342.485123941289,40109.82148729547
A-af0cd2,False,0.3310196223925835,Medium,Enterprise,Cybersecurity,1083,12996,annual,358.4942510511679,4301.931012614015
A-bd4513,False,0.6692841319045335,Medium,Enterprise,DevTools,950,11400,annual,635.8199253093069,7629.839103711682
A-c222ab,True,0.5264654527091014,Medium,Pro,Cybersecurity,1568,18816,monthly,825.497829847871,9905.973958174452
A-34d880,False,0.148267561229018,Low,Enterprise,Cybersecurity,995,11940,monthly,147.5262234228729,1770.3146810744747
A-508199,False,0.4460100253336008,Medium,Basic,FinTech,0,0,monthly,0.0,0.0
A-f03140,False,0.7219661129635889,High,Pro,DevTools,0,0,annual,0.0,0.0
A-410e86,False,0.5310914384109467,Medium,Basic,FinTech,4776,57312,monthly,2536.492709850682,30437.91251820818
A-fa2041,False,0.4451876452021731,Medium,Pro,HealthTech,0,0,annual,0.0,0.0
A-de58ca,False,0.1522930459464349,Low,Enterprise,HealthTech,7164,85968,annual,1091.0273811602597,13092.328573923114
A-05d3b3,False,0.5996597223931205,Medium,Basic,DevTools,3781,45372,annual,2267.3134103683888,27207.76092442066
A-249769,True,0.6820932310981321,Medium,Enterprise,Cybersecurity,133,1596,annual,90.71839973605158,1088.620796832619
A-e43bf7,False,0.0512555374397692,Low,Pro,Cybersecurity,8756,105072,annual,448.79348582261906,5385.521829871429
A-eb2fdc,True,0.6876036803488287,Medium,Enterprise,DevTools,589,7068,annual,404.9985677254601,4859.982812705521
A-e1462e,False,0.3396257805567065,Medium,Basic,FinTech,285,3420,annual,96.79334745866136,1161.5201695039361
A-cab532,False,0.6259661949060816,Medium,Pro,DevTools,1715,20580,annual,1073.53202426393,12882.38429116716
A-9123ac,False,0.1733144250176465,Low,Pro,Cybersecurity,3582,42984,annual,620.8122704132097,7449.747244958517
A-6e08f3,False,0.5304589283153119,Medium,Basic,Cybersecurity,247,2964,annual,131.02335529388205,1572.2802635265846
A-d922bf,True,0.5088138020547308,Medium,Basic,HealthTech,1791,21492,annual,911.2855194800229,10935.426233760274
A-8ed5dd,True,0.2901414648328463,Low,Enterprise,EdTech,285,3420,monthly,82.69031747736119,992.2838097283344
A-7c6b6b,False,0.5256443478540036,Medium,Basic,FinTech,1127,13524,monthly,592.4011800314621,7108.814160377545
A-3c1a3f,False,0.6183304415085173,Medium,Pro,DevTools,133,1596,annual,82.2379487206328,986.8553846475937
A-b48f73,False,0.4103844080505853,Medium,Pro,EdTech,3920,47040,annual,1608.7068795582943,19304.48255469953
A-76fa4d,False,0.6089975180307745,Medium,Pro,HealthTech,3381,40572,monthly,2059.0206084620486,24708.247301544583
A-b2af2e,False,0.3617486640056668,Medium,Enterprise,Cybersecurity,1026,12312,annual,371.1541292698141,4453.849551237769
A-9bfc9f,False,0.2333565638883304,Low,Pro,DevTools,2940,35280,monthly,686.0682978316913,8232.819573980296
A-4ae22a,True,0.668145278823708,Medium,Pro,EdTech,532,6384,annual,355.45328833421263,4265.439460010552
A-fda07f,False,0.4881008975686521,Medium,Basic,Cybersecurity,266,3192,monthly,129.83483875326147,1558.0180650391376
A-de24d5,False,0.7318372008506175,High,Enterprise,DevTools,245,2940,monthly,179.3001142084013,2151.6013705008154
A-977ca0,True,0.4826257169769452,Medium,Basic,HealthTech,686,8232,annual,331.0812418461844,3972.9749021542125
A-ab438f,True,0.5101325965345793,Medium,Enterprise,Cybersecurity,0,0,monthly,0.0,0.0
A-e89151,True,0.213454447507037,Low,Pro,FinTech,8756,105072,annual,1869.0071423716158,22428.08570845939
A-40906c,False,0.3620310787806189,Medium,Basic,EdTech,4508,54096,annual,1632.03610314303,19584.43323771636
A-81edc3,False,0.4177532141080724,Medium,Basic,Cybersecurity,995,11940,annual,415.66444803753205,4987.973376450384
A-328bd0,False,0.1043763737862457,Low,Enterprise,HealthTech,882,10584,annual,92.05996167946871,1104.7195401536246
A-b3fe05,False,0.3442113025510117,Medium,Pro,Cybersecurity,0,0,annual,0.0,0.0
A-09540c,False,0.3550631577645792,Medium,Basic,Cybersecurity,3283,39396,monthly,1165.6723469411136,13988.068163293363
A-e693b6,True,0.5120776626722031,Medium,Enterprise,FinTech,10945,131340,annual,5604.690017947263,67256.28021536715
A-2446e3,False,0.2451933717822231,Low,Pro,EdTech,5373,64476,monthly,1317.4239865858847,15809.087839030617
A-241e75,False,0.2968239396498763,Low,Enterprise,EdTech,95,1140,monthly,28.19827426673825,338.379291200859
A-922109,False,0.4543893954608756,Medium,Pro,Cybersecurity,0,0,monthly,0.0,0.0
A-ff3c73,False,0.3479354648954608,Medium,Pro,HealthTech,399,4788,annual,138.82625049328885,1665.9150059194662
A-8b0451,False,0.5699248145328342,Medium,Enterprise,FinTech,8159,97908,annual,4650.016561773394,55800.19874128073
A-331424,False,0.4456069391904395,Medium,Basic,DevTools,0,0,monthly,0.0,0.0
A-51ec1b,False,0.1791540935355867,Low,Enterprise,DevTools,3383,40596,annual,606.0782984308898,7272.939581170678
