account_id,churn_flag,churn_probability,risk_level,plan_tier,industry,mrr_amount,arr_amount,billing_frequency,expected_mrr_at_risk,expected_arr_at_risk,top_risk_increasing,top_risk_decreasing,top_feature,action_category,suggested_action,urgency
A-4e44e8,True,0.6671780525484906,Medium,Enterprise,DevTools,3383,40596,annual,2257.063351771544,27084.76022125853,total_usage_count (+0.767); tenure_months (+0.677); tenure_days (+0.675),engagement_trend_ratio (-0.882); total_errors (-0.392); days_since_last_activity (-0.261),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-30b4ca,True,0.376358617932638,Medium,Basic,EdTech,1634,19608,annual,614.9699817019305,7379.639780423166,tenure_months (+0.541); tenure_days (+0.540); country_IN (+0.328),engagement_trend_ratio (-0.625); total_usage_count (-0.347); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-9f2731,False,0.57044382143848,Medium,Enterprise,FinTech,0,0,annual,0.0,0.0,tenure_months (+0.583); tenure_days (+0.582); referral_source_event (+0.390),engagement_trend_ratio (-0.936); total_usage_count (-0.651); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-32fb14,True,0.7692745843040619,High,Enterprise,DevTools,5174,62088,annual,3980.226699189217,47762.7203902706,industry_DevTools (+0.654); engagement_trend_ratio (+0.430); referral_source_event (+0.390),tenure_months (-0.276); tenure_days (-0.276); clv_proxy (-0.117),industry_DevTools,Segment-Level,Not an individually actionable behavior — this account's industry segment shows elevated structural risk; consider segment-level strategy (tailored onboarding or pricing for this vertical) rather than one-off outreach,Act this week
A-00cac8,False,0.2268966163405309,Low,Enterprise,HealthTech,931,11172,annual,211.24074981303428,2534.8889977564118,total_usage_count (+0.435); industry_HealthTech (+0.358); days_since_last_activity (+0.145),tenure_months (-0.420); tenure_days (-0.419); country_US (-0.312),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,No action needed
A-35083d,True,0.2883376304406055,Low,Basic,HealthTech,9751,117012,monthly,2811.5802344263443,33738.96281311613,total_usage_count (+1.173); engagement_trend_ratio (+0.628); industry_HealthTech (+0.358),tenure_months (-0.784); tenure_days (-0.783); clv_proxy (-0.422),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,No action needed
A-eb7fac,False,0.3261264585203582,Medium,Enterprise,DevTools,494,5928,monthly,161.10647050905695,1933.2776461086837,industry_DevTools (+0.654); engagement_trend_ratio (+0.327); country_US (+0.200),total_errors (-0.658); tenure_months (-0.308); tenure_days (-0.307),industry_DevTools,Segment-Level,Not an individually actionable behavior — this account's industry segment shows elevated structural risk; consider segment-level strategy (tailored onboarding or pricing for this vertical) rather than one-off outreach,Monitor / act within the month
A-b20d99,False,0.1203910525659086,Low,Basic,HealthTech,3980,47760,monthly,479.1563892123162,5749.876670547795,total_errors (+0.560); industry_HealthTech (+0.358); country_IN (+0.328),days_since_last_activity (-1.102); total_usage_count (-0.632); tenure_months (-0.388),total_errors,Support/Technical,Technical support outreach — elevated error activity; proactively offer troubleshooting help,No action needed
A-396e5f,False,0.6784143386978622,Medium,Enterprise,Cybersecurity,1666,19992,monthly,1130.2382882706383,13562.85945924766,tenure_months (+0.578); tenure_days (+0.577); country_CA (+0.256),engagement_trend_ratio (-0.602); country_US (-0.312); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-45ce7a,False,0.2563418646903873,Low,Enterprise,FinTech,3184,38208,monthly,816.1924971741931,9794.309966090315,engagement_trend_ratio (+0.483); country_US (+0.200); industry_FinTech (+0.185),tenure_months (-0.560); tenure_days (-0.559); total_usage_count (-0.261),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,No action needed
A-08e34e,True,0.7746125416683408,High,Basic,EdTech,2786,33432,monthly,2158.0705410879973,25896.84649305597,tenure_months (+0.640); tenure_days (+0.639); total_usage_count (+0.626),engagement_trend_ratio (-0.531); total_errors (-0.201); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Act this week
A-8145a0,False,0.4088128454471812,Medium,Basic,Cybersecurity,285,3420,monthly,116.51166095244665,1398.1399314293596,engagement_trend_ratio (+1.452); total_usage_count (+0.790); days_since_last_activity (+0.173),tenure_months (-0.792); tenure_days (-0.791); country_US (-0.312),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-bad8c1,False,0.4931398024712693,Medium,Basic,FinTech,1813,21756,monthly,894.0624618804113,10728.749542564936,engagement_trend_ratio (+2.462); total_errors (+0.598); industry_FinTech (+0.185),tenure_months (-0.935); tenure_days (-0.934); total_usage_count (-0.413),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-44dc83,False,0.305165626337662,Medium,Basic,EdTech,0,0,annual,0.0,0.0,country_FR (+0.616); total_errors (+0.522); referral_source_other (+0.211),total_usage_count (-0.948); days_since_last_activity (-0.885); engagement_trend_ratio (-0.535),country_FR,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,Monitor / act within the month
A-f446b6,False,0.5968155952674927,Medium,Pro,DevTools,95,1140,annual,56.69748155041181,680.3697786049418,engagement_trend_ratio (+1.372); country_DE (+0.814); industry_DevTools (+0.654),tenure_months (-0.748); tenure_days (-0.746); total_usage_count (-0.448),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-a45270,False,0.4036336420106194,Medium,Enterprise,HealthTech,0,0,annual,0.0,0.0,total_usage_count (+0.947); industry_HealthTech (+0.358); tenure_months (+0.317),total_errors (-1.001); engagement_trend_ratio (-0.834); industry_DevTools (-0.195),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-854864,False,0.6870070042029148,Medium,Enterprise,FinTech,980,11760,annual,673.2668641188566,8079.202369426278,tenure_months (+0.749); tenure_days (+0.748); total_errors (+0.636),engagement_trend_ratio (-1.028); total_usage_count (-0.948); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-1b7577,False,0.5835406030410101,Medium,Pro,Cybersecurity,2009,24108,monthly,1172.3330715093891,14067.99685811267,tenure_months (+0.643); tenure_days (+0.642); total_usage_count (+0.611),engagement_trend_ratio (-0.882); total_errors (-0.239); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-05f0e5,False,0.3190158957285933,Medium,Basic,FinTech,2842,34104,annual,906.643175660662,10879.718107927943,engagement_trend_ratio (+1.096); total_usage_count (+0.841); days_since_last_activity (+0.227),tenure_months (-0.769); tenure_days (-0.767); total_errors (-0.734),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-9077b0,False,0.4147176460351142,Medium,Basic,HealthTech,0,0,monthly,0.0,0.0,tenure_months (+0.479); tenure_days (+0.478); industry_HealthTech (+0.358),engagement_trend_ratio (-0.860); days_since_last_activity (-0.343); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-7f8241,True,0.2259628162406803,Low,Pro,EdTech,6766,81192,monthly,1528.8644146844429,18346.372976213315,engagement_trend_ratio (+1.374); total_usage_count (+0.951); country_US (+0.200),tenure_months (-0.901); tenure_days (-0.900); total_errors (-0.430),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,No action needed
A-2bc93d,False,0.568774061972765,Medium,Basic,HealthTech,1715,20580,monthly,975.447516283292,11705.370195399504,engagement_trend_ratio (+1.474); total_usage_count (+0.685); referral_source_event (+0.390),tenure_months (-0.901); tenure_days (-0.900); industry_DevTools (-0.195),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-f3ff05,False,0.5205508549377215,Medium,Enterprise,FinTech,570,6840,monthly,296.71398731450125,3560.567847774015,total_usage_count (+0.708); tenure_months (+0.348); tenure_days (+0.348),engagement_trend_ratio (-0.835); total_errors (-0.354); country_US (-0.312),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-2d4502,False,0.4852132538375429,Medium,Basic,FinTech,6766,81192,annual,3282.952875464815,39395.43450557778,referral_source_event (+0.390); country_IN (+0.328); total_errors (+0.293),engagement_trend_ratio (-0.821); country_US (-0.312); industry_DevTools (-0.195),referral_source_event,Segment-Level,Not an individually actionable behavior — this account's acquisition channel shows elevated structural risk; consider reviewing onboarding quality for this channel rather than one-off outreach,Monitor / act within the month
A-6a4e2d,False,0.2536306934785505,Low,Pro,EdTech,686,8232,annual,173.99065572628564,2087.887868715428,engagement_trend_ratio (+1.611); total_usage_count (+0.415); country_UK (+0.227),tenure_months (-0.839); tenure_days (-0.837); upgrade_flag (-0.348),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,No action needed
A-eb7c38,False,0.4988827886664889,Medium,Enterprise,DevTools,627,7524,annual,312.79950849388854,3753.5941019266634,total_usage_count (+0.790); industry_DevTools (+0.654); plan_tier_Pro (+0.067),country_US (-0.312); referral_source_organic (-0.222); engagement_trend_ratio (-0.170),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-c37601,False,0.5672389813287214,Medium,Basic,EdTech,10746,128952,monthly,6095.55009335844,73146.60112030129,tenure_months (+0.653); tenure_days (+0.652); total_errors (+0.217),engagement_trend_ratio (-0.968); referral_source_partner (-0.195); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-3b5cd1,False,0.7030630255347231,High,Basic,FinTech,6368,76416,annual,4477.105346605117,53725.2641592614,engagement_trend_ratio (+0.970); referral_source_event (+0.390); country_US (+0.200),tenure_months (-0.427); tenure_days (-0.427); industry_DevTools (-0.195),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Act this week
A-b2225d,True,0.4341614718895309,Medium,Basic,FinTech,893,10716,annual,387.7061943973511,4652.474332768214,total_usage_count (+0.802); tenure_months (+0.523); tenure_days (+0.522),total_errors (-1.267); industry_DevTools (-0.195); distinct_features_used (-0.170),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-94f8c9,False,0.2891874212539946,Low,Basic,HealthTech,2587,31044,monthly,748.1278587840841,8977.534305409008,total_usage_count (+0.998); industry_HealthTech (+0.358); referral_source_other (+0.211),total_errors (-1.381); engagement_trend_ratio (-0.437); industry_DevTools (-0.195),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,No action needed
A-02fac6,False,0.3386077754916104,Medium,Pro,FinTech,1078,12936,monthly,365.019181979956,4380.230183759472,engagement_trend_ratio (+1.309); referral_source_event (+0.390); country_US (+0.200),tenure_months (-0.841); tenure_days (-0.840); upgrade_flag (-0.348),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-c1dfe1,False,0.26896264127691,Low,Pro,DevTools,494,5928,monthly,132.86754479079354,1594.4105374895223,country_DE (+0.814); industry_DevTools (+0.654); days_since_last_activity (+0.132),tenure_months (-0.521); tenure_days (-0.520); total_usage_count (-0.452),country_DE,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,No action needed
A-32728c,True,0.7473064006173189,High,Pro,DevTools,798,9576,annual,596.3505076926205,7156.206092311446,engagement_trend_ratio (+1.614); industry_DevTools (+0.654); referral_source_event (+0.390),tenure_months (-0.654); tenure_days (-0.653); total_usage_count (-0.284),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Act this week
A-4c38bc,True,0.7308095342687085,High,Basic,HealthTech,1764,21168,annual,1289.148018450002,15469.776221400023,total_usage_count (+1.279); referral_source_event (+0.390); industry_HealthTech (+0.358),country_US (-0.312); engagement_trend_ratio (-0.305); distinct_features_used (-0.219),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Act this week
A-1b707d,False,0.4413197221122251,Medium,Enterprise,Cybersecurity,0,0,annual,0.0,0.0,engagement_trend_ratio (+1.175); total_errors (+0.560); country_US (+0.200),tenure_months (-0.584); tenure_days (-0.583); total_usage_count (-0.358),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-6f8ad2,False,0.3909764228221033,Medium,Basic,EdTech,779,9348,annual,304.5706333784185,3654.8476005410216,total_usage_count (+1.693); tenure_months (+0.356); tenure_days (+0.356),total_errors (-1.229); engagement_trend_ratio (-0.656); country_US (-0.312),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-4d1e75,False,0.6819609940069337,Medium,Basic,DevTools,0,0,monthly,0.0,0.0,industry_DevTools (+0.654); tenure_months (+0.468); tenure_days (+0.467),engagement_trend_ratio (-0.928); industry_HealthTech (-0.101); referral_source_event (-0.080),industry_DevTools,Segment-Level,Not an individually actionable behavior — this account's industry segment shows elevated structural risk; consider segment-level strategy (tailored onboarding or pricing for this vertical) rather than one-off outreach,Monitor / act within the month
A-9ee962,True,0.7743769701594954,High,Basic,HealthTech,171,2052,annual,132.41846189727372,1589.0215427672845,engagement_trend_ratio (+2.002); total_errors (+0.370); industry_HealthTech (+0.358),tenure_months (-0.706); tenure_days (-0.705); total_usage_count (-0.202),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Act this week
A-378b99,False,0.463366852867837,Medium,Pro,EdTech,784,9408,annual,363.2796126483842,4359.35535178061,tenure_months (+0.497); tenure_days (+0.496); total_usage_count (+0.290),engagement_trend_ratio (-0.590); total_errors (-0.430); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-94d3da,False,0.3112230935545267,Medium,Basic,HealthTech,779,9348,monthly,242.4427898789763,2909.3134785477155,engagement_trend_ratio (+0.473); industry_HealthTech (+0.358); referral_source_other (+0.211),tenure_months (-0.771); tenure_days (-0.770); industry_DevTools (-0.195),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-e351e1,False,0.5173035910124013,Medium,Enterprise,EdTech,627,7524,annual,324.34935156477565,3892.192218777308,tenure_months (+0.562); tenure_days (+0.561); referral_source_other (+0.211),total_usage_count (-0.765); engagement_trend_ratio (-0.624); industry_DevTools (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-9badbd,False,0.5176753072048054,Medium,Enterprise,Cybersecurity,11741,140892,monthly,6078.02578189162,72936.30938269944,total_usage_count (+0.931); country_DE (+0.814); tenure_months (+0.304),total_errors (-0.696); engagement_trend_ratio (-0.660); country_US (-0.312),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-7e0a10,False,0.2564267774129244,Low,Enterprise,FinTech,13930,167160,annual,3572.025009362037,42864.30011234444,country_US (+0.200); industry_FinTech (+0.185); arr_amount (+0.147),clv_proxy (-0.399); total_errors (-0.316); tenure_months (-0.253),country_US,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,No action needed
A-118d55,False,0.5140744088741118,Medium,Basic,Cybersecurity,5771,69252,monthly,2966.7234136125,35600.680963349994,tenure_months (+0.630); tenure_days (+0.629); total_usage_count (+0.423),engagement_trend_ratio (-0.891); total_errors (-0.239); referral_source_organic (-0.222),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-526d93,False,0.4125030674530768,Medium,Basic,HealthTech,8557,102684,annual,3529.7887481959783,42357.46497835174,country_FR (+0.616); industry_HealthTech (+0.358); total_usage_count (+0.290),total_errors (-0.696); engagement_trend_ratio (-0.365); country_US (-0.312),country_FR,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,Monitor / act within the month
A-f92792,False,0.4989778390714139,Medium,Pro,FinTech,361,4332,annual,180.13099990478042,2161.571998857365,tenure_months (+0.343); tenure_days (+0.343); country_US (+0.200),engagement_trend_ratio (-0.649); industry_DevTools (-0.195); total_errors (-0.163),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-84ebe4,True,0.8896799626054841,High,Pro,FinTech,7164,85968,monthly,6373.667252105688,76484.00702526826,engagement_trend_ratio (+2.570); country_US (+0.200); industry_FinTech (+0.185),total_usage_count (-0.370); industry_DevTools (-0.195); clv_proxy (-0.124),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Act this week
A-5b4ebb,True,0.6142470747076395,Medium,Basic,Cybersecurity,1470,17640,annual,902.94319982023,10835.31839784276,total_usage_count (+0.787); tenure_months (+0.359); tenure_days (+0.358),engagement_trend_ratio (-0.787); country_US (-0.312); industry_DevTools (-0.195),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-2922b6,False,0.5911445386026056,Medium,Basic,HealthTech,980,11760,annual,579.3216478305535,6951.859773966642,tenure_months (+0.690); tenure_days (+0.688); total_errors (+0.522),engagement_trend_ratio (-0.929); total_usage_count (-0.382); upgrade_flag (-0.348),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-9b9fe9,False,0.4040685543932634,Medium,Basic,EdTech,9950,119400,monthly,4020.4821162129706,48245.78539455565,engagement_trend_ratio (+0.644); total_usage_count (+0.415); referral_source_other (+0.211),tenure_months (-0.386); tenure_days (-0.385); country_US (-0.312),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-a8b49c,False,0.143388944204242,Low,Basic,Cybersecurity,343,4116,annual,49.18240786205501,590.1888943446601,country_UK (+0.227); total_usage_count (+0.212); engagement_trend_ratio (+0.191),total_errors (-0.620); tenure_months (-0.365); tenure_days (-0.364),country_UK,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,No action needed
